@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
504.0,183.5,60
504.0,171.0,60
500.5,161.5,60
498.0,137.5,60
501.0,132.5,60
500.5,131.5,60
501.5,127.0,60
500.5,118.0,60
501.0,111.0,60
499.5,104.0,60
499.0,99.5,60
497.0,89.0,60
527.0,90.5,60
510.5,83.0,60
497.0,84.5,60
501.0,81.0,60
488.0,85.0,60
482.5,86.5,60
462.0,82.5,60
458.0,88.5,60
447.0,87.0,60
443.5,87.0,60
432.5,88.0,60
426.5,87.0,60
421.5,92.0,60
418.0,92.0,60
409.5,93.0,60
404.0,92.0,60
391.0,94.5,60
385.5,94.0,60
379.0,92.0,60
368.5,95.0,60
359.0,92.5,60
353.0,94.5,60
344.0,96.5,60
337.5,96.5,60
328.0,96.0,60
318.0,98.5,60
312.0,98.5,60
303.0,99.5,60
289.5,87.5,60
287.5,87.5,60
274.0,90.0,60
269.5,89.5,60
260.5,91.0,60
252.0,92.0,60
238.0,94.0,60
231.5,93.5,60
222.0,94.5,60
215.0,90.0,60
208.0,93.0,60
202.0,92.0,60
189.0,93.0,60
183.5,94.5,60
173.0,95.5,60
165.5,90.5,60
157.0,92.5,60
153.5,93.5,60
139.5,91.0,60
108.5,80.0,60
114.0,82.5,60
120.5,81.5,60
129.5,81.0,60
135.0,81.0,60
143.5,81.0,60
152.5,80.5,60
161.0,81.0,60
169.5,82.5,60
177.5,81.5,60
186.5,83.0,60
190.0,82.5,60
197.5,80.0,60
201.0,82.5,60
215.5,78.0,60
215.0,77.5,60
230.5,81.5,60
239.0,79.5,60
245.5,80.5,60
257.0,81.0,60
264.5,79.5,60
276.5,80.0,60
281.5,77.0,60
291.5,79.5,60
302.5,78.5,60
315.5,77.0,60
318.0,76.0,60
333.0,77.0,60
334.5,78.5,60
345.0,80.0,60
351.5,77.0,60
359.5,81.5,60
371.5,79.0,60
373.5,78.0,60
392.0,77.5,60
394.5,80.5,60
409.5,80.5,60
412.5,78.0,60
426.0,77.5,60
431.0,80.5,60
448.0,79.5,60
454.0,80.5,60
461.5,78.5,60
466.0,78.5,60
476.5,79.0,60
480.5,78.0,60
486.0,78.5,60
498.0,79.5,60
126.0,120.0,20
138.5,126.0,20
143.5,126.0,20
150.0,129.0,20
157.0,127.0,20
165.0,128.0,20
173.5,127.5,20
181.5,128.5,20
186.5,126.0,20
198.5,129.5,20
204.0,127.0,20
211.0,128.0,20
218.5,129.5,20
232.0,128.0,20
234.0,129.5,20
247.0,127.0,20
251.0,129.0,20
263.0,131.0,20
269.5,130.0,20
277.0,130.0,20
155.0,141.5,20
162.0,141.0,20
170.5,143.0,20
180.5,142.5,20
183.5,146.0,20
192.5,144.5,20
199.0,144.5,20
207.5,146.0,20
215.0,145.5,20
225.0,145.0,20
232.5,145.5,20
238.5,146.5,20
245.5,149.5,20
249.5,148.0,20
269.5,148.0,20
274.5,150.5,20
177.0,167.0,20
180.0,167.0,20
187.0,166.0,20
195.0,167.0,20
198.0,168.5,20
205.5,166.5,20
217.5,167.0,20
221.5,168.0,20
232.0,167.5,20
239.5,166.5,20
255.0,170.5,20
260.0,170.5,20
269.5,170.5,20
201.0,204.5,20
202.0,204.0,20
212.0,203.0,20
218.0,203.5,20
230.5,206.0,20
234.0,205.5,20
248.0,204.5,20
216.0,230.0,20
222.5,230.5,20
225.5,231.0,20
297.5,165.5,20
300.5,166.0,20
300.5,156.5,20
301.0,149.0,20
269.0,195.5,20
