@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
476.0,49.5,60
477.5,51.5,60
478.5,53.5,60
477.0,60.0,60
476.0,64.5,60
476.0,67.0,60
475.5,73.0,60
478.5,80.0,60
476.0,85.0,60
476.5,87.5,60
476.0,94.0,60
475.0,98.0,60
476.5,103.5,60
475.0,104.5,60
474.5,115.5,60
473.5,123.5,60
473.5,127.0,60
472.0,131.5,60
472.0,134.5,60
473.5,141.0,60
471.0,147.0,60
471.5,150.5,60
472.0,154.5,60
470.0,163.0,80
470.0,166.0,100
471.5,171.5,100
472.0,174.5,100
471.0,179.0,100
469.5,186.0,100
471.5,192.0,100
469.0,193.5,100
468.0,202.0,100
470.5,208.0,100
469.0,212.0,100
468.5,218.0,100
468.5,223.0,100
467.0,228.0,100
467.5,238.0,100
466.0,239.0,100
466.0,243.5,100
466.0,247.5,100
466.0,254.5,100
466.0,260.0,100
466.5,263.5,100
466.0,268.5,100
466.5,271.0,100
466.5,276.5,100
464.5,282.0,80
465.0,289.0,60
464.0,294.0,40
464.0,297.0,40
465.5,303.5,40
464.5,308.5,40
463.0,312.5,40
462.0,319.0,40
461.5,323.5,60
467.5,44.5,60
468.5,46.5,60
468.0,51.5,60
467.0,54.0,60
468.5,61.0,60
468.0,66.0,60
469.5,67.5,60
468.5,75.5,60
468.5,80.0,60
469.5,85.0,60
469.5,90.5,60
467.0,96.0,60
466.5,96.5,60
467.5,105.5,60
467.5,107.5,60
467.0,115.0,60
467.5,121.5,60
468.0,125.5,60
467.0,128.5,60
469.0,137.5,60
470.5,140.5,60
468.0,147.5,60
469.5,151.0,60
470.0,154.0,60
471.5,160.0,80
472.0,166.0,100
469.5,169.5,100
469.0,177.0,100
468.5,184.0,100
468.0,187.5,100
466.0,195.0,100
467.0,201.5,100
466.5,206.5,100
465.5,212.5,100
466.0,212.0,100
467.0,223.0,100
466.0,223.0,100
466.0,230.5,100
466.5,235.5,100
467.0,239.5,100
466.0,243.0,100
465.0,252.5,100
465.0,256.0,100
465.5,258.5,100
462.0,270.5,100
462.5,270.5,100
462.0,279.5,100
461.5,278.0,100
462.5,286.5,60
462.5,290.5,40
460.0,298.0,40
463.5,302.5,40
462.5,306.0,40
462.5,312.5,40
461.0,315.0,40
460.5,321.0,40
460.5,46.0,60
458.0,49.5,60
460.5,52.5,60
461.0,56.0,60
460.0,62.0,60
460.0,69.0,60
459.0,73.5,60
458.0,78.5,60
457.5,84.5,60
459.5,87.0,60
456.0,96.0,60
454.0,101.5,60
454.0,107.0,60
454.5,110.5,60
454.0,113.0,60
453.5,118.5,60
452.5,124.5,60
454.0,128.0,60
454.0,133.0,60
453.0,136.5,60
454.0,143.5,60
451.5,147.5,60
453.5,152.5,60
452.5,160.5,80
453.0,161.0,100
453.0,169.5,100
452.0,175.0,100
452.5,177.0,100
453.0,186.0,100
452.0,188.5,100
450.0,196.0,100
450.5,201.0,100
449.5,205.0,80
449.0,210.0,100
449.5,214.5,80
448.0,223.5,80
449.5,224.5,80
448.5,231.5,80
446.5,236.0,80
448.5,241.5,80
448.0,243.0,80
448.5,253.0,80
447.5,257.0,80
446.5,261.0,80
446.0,263.5,80
445.0,270.5,80
445.0,273.5,80
443.5,281.5,80
443.0,287.0,60
444.0,291.5,40
443.0,299.0,40
442.0,302.5,40
442.0,307.5,40
442.0,313.5,40
440.0,318.0,40
441.0,322.5,40
437.5,47.5,60
437.5,49.0,60
436.5,51.5,60
436.5,54.0,60
436.0,60.0,60
435.5,64.5,60
436.5,72.0,60
437.0,76.0,60
435.5,79.0,60
436.5,88.5,60
435.5,92.5,40
435.5,95.5,20
433.0,101.5,20
433.5,107.5,20
432.5,113.5,20
431.0,118.0,20
432.5,122.5,20
432.0,125.0,20
432.5,129.0,20
432.0,136.0,20
433.5,140.5,20
433.0,145.0,20
433.0,152.5,20
433.5,155.0,20
432.5,163.5,20
432.5,166.5,20
432.5,172.5,20
433.0,178.0,20
431.0,185.0,20
430.5,190.5,20
431.0,196.0,20
431.0,201.5,20
430.0,205.5,20
430.0,210.0,20
431.0,213.5,20
429.5,220.5,20
430.0,225.5,20
430.5,229.0,0
429.5,233.5,0
430.5,241.5,0
429.0,246.5,0
431.5,248.5,0
429.0,256.5,0
429.5,261.0,0
430.0,264.5,0
430.0,272.5,0
431.0,274.5,0
431.0,281.0,20
429.0,288.0,20
429.0,290.5,40
430.0,301.0,40
429.0,299.0,40
430.0,305.0,40
430.0,313.5,40
431.5,313.0,40
430.0,321.0,40
422.5,45.0,60
422.5,49.0,60
422.0,55.0,60
423.0,61.0,60
422.5,69.0,60
420.5,71.0,60
421.0,77.0,60
422.0,83.0,80
422.0,86.0,80
422.5,94.5,60
419.0,98.0,60
420.5,103.0,60
419.0,106.5,40
419.0,112.0,20
421.0,113.5,20
419.0,119.0,20
420.5,123.5,20
419.5,125.5,20
420.5,132.0,20
419.5,136.5,20
418.5,142.5,20
421.5,147.5,20
421.5,150.5,20
420.5,158.0,20
421.0,159.0,20
421.0,171.5,0
421.0,174.5,0
419.0,178.0,0
419.0,183.5,0
418.5,190.0,0
418.0,197.5,0
418.5,200.0,0
419.5,205.0,0
418.0,209.5,0
417.5,213.5,0
418.5,219.5,0
417.5,226.0,0
415.5,231.0,0
418.5,235.5,0
418.5,240.0,0
418.0,244.0,0
418.0,250.5,0
418.5,255.5,0
417.0,264.0,0
417.5,268.5,0
417.0,272.5,0
417.5,278.0,0
416.5,282.0,20
418.5,289.0,40
416.5,294.5,40
417.5,299.0,40
416.5,305.0,40
416.5,308.5,40
416.0,314.0,40
415.0,318.5,40
397.5,52.5,60
397.0,53.5,60
397.0,58.0,60
396.5,65.0,60
396.0,68.5,60
397.0,72.5,60
396.5,80.5,80
397.5,82.5,80
395.0,90.0,80
395.5,95.5,80
395.0,103.5,80
396.0,107.0,80
396.0,111.5,80
398.5,118.5,80
396.5,123.5,60
397.0,123.0,60
396.5,129.5,40
396.5,129.5,20
396.5,129.5,20
396.5,129.5,20
396.5,129.5,0
396.5,129.5,20
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
396.5,129.5,0
387.5,119.5,80
387.0,122.5,80
387.5,125.0,60
389.0,132.0,60
387.5,136.5,40
388.5,139.0,20
387.5,146.5,20
386.0,148.5,20
386.0,154.0,20
386.0,162.5,20
387.5,164.5,0
387.0,170.5,0
385.5,175.5,0
385.0,180.5,0
385.5,189.0,0
385.0,194.0,0
384.0,197.0,0
385.5,201.5,0
384.5,208.0,0
385.0,210.5,0
385.5,221.0,0
383.0,222.0,0
386.5,224.0,0
383.5,228.5,0
384.5,235.0,0
384.5,239.5,0
384.5,246.5,0
382.0,248.5,0
382.0,252.0,0
382.0,262.0,0
382.5,265.5,0
382.0,273.0,0
379.0,276.5,0
377.0,278.0,20
378.0,291.0,40
376.5,293.5,40
378.0,299.5,40
377.0,306.0,40
377.0,309.0,40
378.5,316.5,40
378.0,318.5,40
378.0,321.5,60
379.5,324.0,80
378.5,331.0,100
378.5,329.5,100
379.5,333.5,100
381.0,46.0,60
379.5,49.0,60
378.0,54.5,60
378.0,58.0,60
378.0,61.5,60
378.5,64.0,60
379.5,70.0,60
380.0,74.5,80
379.5,81.5,80
378.0,85.5,80
378.0,90.5,80
376.0,96.0,80
376.0,102.0,80
376.5,105.5,80
375.0,113.0,80
376.5,117.0,80
377.5,123.0,80
375.5,129.5,80
376.5,135.0,80
375.5,142.5,60
375.5,146.5,60
374.0,150.0,40
374.0,152.5,20
373.0,157.5,20
374.5,164.5,0
372.5,168.0,0
374.0,172.5,0
372.0,179.5,0
371.0,183.5,0
372.0,187.5,0
373.5,193.5,0
371.5,200.5,0
372.0,203.0,0
372.0,208.5,0
372.0,214.0,0
370.0,218.5,0
371.5,223.5,0
370.5,228.0,0
369.5,235.0,0
371.5,240.5,0
372.0,246.0,0
370.0,251.0,0
371.0,256.5,0
370.5,265.5,0
370.5,269.0,0
370.5,272.0,0
370.5,278.5,0
369.0,286.5,20
370.5,286.5,40
370.5,286.5,40
370.5,286.5,40
370.5,286.5,40
370.5,286.5,40
370.5,286.5,40
370.5,286.5,40
367.5,288.5,40
367.0,290.0,40
367.5,297.0,40
366.5,304.0,40
365.5,308.0,40
365.0,313.0,40
365.0,320.5,60
365.5,326.0,80
361.5,40.5,60
361.0,45.0,60
354.5,52.5,60
358.0,48.0,60
363.0,51.5,60
359.0,62.5,60
358.5,64.5,60
359.0,71.0,80
356.0,81.5,80
355.0,84.0,80
359.5,89.0,80
356.5,92.5,80
358.0,100.0,80
357.0,106.0,80
361.5,113.5,80
358.0,117.5,80
359.0,117.5,80
363.0,124.0,80
363.0,131.0,80
363.0,136.0,80
362.5,140.5,80
360.0,145.5,80
360.0,149.0,80
361.0,156.0,80
359.5,161.0,60
358.0,165.0,40
359.0,170.0,20
358.0,177.5,0
359.5,183.5,0
356.0,190.5,0
358.0,189.5,0
356.5,196.5,0
356.5,204.5,0
354.5,208.5,0
352.5,211.0,0
353.5,221.0,0
354.5,224.0,0
352.5,227.0,0
354.0,232.0,0
352.5,237.5,0
352.5,244.5,0
353.0,249.5,0
352.5,251.0,0
351.5,258.5,0
352.5,263.5,0
351.0,268.0,0
351.0,272.5,0
351.5,278.5,20
352.5,277.0,20
351.0,285.0,40
352.0,284.5,40
352.5,291.0,40
352.0,294.0,40
350.0,302.5,40
350.0,306.0,40
349.0,316.5,60
314.5,47.0,60
314.0,50.0,60
312.5,51.5,60
311.0,59.5,60
310.5,59.5,60
308.5,66.0,60
311.5,73.0,80
306.5,79.5,80
306.5,80.0,80
304.0,82.5,80
305.5,88.0,80
305.0,98.5,80
304.5,97.0,80
303.5,105.0,80
306.5,106.5,80
306.0,110.0,100
309.5,121.5,100
307.0,124.5,100
307.5,132.5,100
307.0,134.5,100
308.0,141.0,100
309.5,148.0,100
308.5,151.5,100
308.5,151.5,100
309.0,165.5,100
309.5,168.5,100
309.5,174.5,100
309.0,179.5,100
309.5,186.5,100
309.5,191.5,80
309.5,195.0,80
309.5,201.0,60
310.5,206.0,60
310.0,211.0,20
307.5,214.5,0
308.0,219.0,0
307.0,224.5,0
306.5,230.0,0
306.0,235.5,0
307.5,241.0,0
306.5,245.5,0
307.0,254.5,0
303.5,256.0,0
306.5,262.5,0
304.5,266.0,0
304.5,271.0,0
306.5,276.5,0
306.0,281.5,20
305.5,291.0,40
305.5,294.5,40
304.0,299.5,40
304.0,305.5,40
304.5,305.5,40
304.0,315.5,40
305.5,321.5,40
296.0,45.0,60
296.0,50.5,60
295.0,53.5,60
