@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
548.5,85.0,60
538.0,85.5,60
535.5,87.5,60
552.5,70.5,60
542.0,72.0,60
534.5,72.0,60
526.5,74.0,60
519.5,74.5,60
511.0,76.5,60
500.0,76.0,60
489.0,76.0,60
487.5,76.5,60
475.5,78.5,60
467.5,77.0,60
459.0,78.0,60
432.0,71.5,60
429.0,71.0,60
421.5,72.0,60
413.0,70.0,60
409.0,74.0,60
398.5,74.0,60
392.5,73.5,60
387.5,73.5,60
374.5,73.5,60
369.5,71.0,60
356.5,72.5,60
353.5,71.0,60
345.0,71.0,60
340.0,72.0,60
330.5,72.0,60
324.0,73.0,60
310.0,73.5,60
305.0,75.0,60
295.5,71.5,60
289.5,73.0,60
279.5,73.0,60
270.0,72.0,60
263.5,72.5,60
255.5,71.0,60
246.0,72.5,60
238.5,73.0,60
228.0,72.0,60
225.0,72.0,60
215.0,74.5,60
205.5,73.5,60
198.5,74.0,60
191.5,73.5,60
179.5,72.5,60
173.0,72.0,60
159.5,74.5,60
156.5,73.0,60
146.5,75.0,60
139.5,71.5,60
129.5,73.0,60
124.0,75.0,80
549.5,76.5,60
535.0,78.5,60
533.0,77.0,60
517.5,77.0,60
505.5,76.5,60
492.5,79.0,60
472.5,76.5,60
466.0,78.0,60
458.0,74.5,60
449.0,77.0,60
444.5,74.5,60
434.5,76.5,60
427.0,78.5,60
421.0,81.0,60
413.5,81.5,60
403.5,81.0,60
396.0,81.5,60
390.0,83.5,60
379.5,84.0,60
369.5,85.5,60
365.5,84.5,60
354.0,83.0,60
351.5,83.5,60
339.0,84.0,60
337.0,87.5,60
336.0,82.0,60
326.5,81.5,60
317.5,80.0,60
312.5,78.0,60
304.5,79.0,60
295.5,78.0,60
290.5,79.5,60
276.5,80.0,60
273.5,80.5,60
258.0,80.5,60
250.0,82.5,60
245.5,78.0,60
238.0,79.0,60
225.5,78.5,60
219.5,79.0,60
210.0,77.0,60
204.0,78.0,60
195.5,78.5,60
183.0,79.5,60
175.0,79.5,60
162.5,79.0,60
155.5,78.0,60
145.0,77.0,60
138.5,76.0,60
130.0,77.5,60
121.5,77.0,60
540.5,94.5,60
533.0,96.0,60
526.5,98.0,60
514.0,97.5,60
509.5,89.0,60
492.5,90.0,60
490.0,93.0,60
474.0,89.5,60
472.5,94.0,60
456.0,96.5,60
443.5,96.5,60
434.5,94.5,60
427.0,99.0,60
418.5,98.5,60
407.5,94.0,60
406.0,100.5,60
391.5,101.5,60
387.5,96.5,60
378.0,97.0,60
367.0,99.0,60
365.0,99.0,60
357.5,98.0,60
348.0,100.5,60
333.5,97.5,60
328.0,101.5,60
322.0,103.5,60
321.5,102.0,60
311.5,102.0,60
306.5,105.0,60
295.5,102.5,60
287.5,103.0,60
275.5,105.5,60
270.5,104.5,60
261.5,103.0,60
252.0,103.5,60
