@RELATION	HeightMapping

@ATTRIBUTE	x	NUMERIC
@ATTRIBUTE	y	NUMERIC
@ATTRIBUTE	light	NUMERIC

@DATA
476.0,49.5,37
477.5,51.5,37
478.5,53.5,37
477.0,60.0,37
476.0,64.5,37
476.0,67.0,37
475.5,73.0,37
478.5,80.0,37
476.0,85.0,36
476.5,87.5,36
476.0,94.0,37
475.0,98.0,37
476.5,103.5,37
475.0,104.5,37
474.5,115.5,37
473.5,123.5,37
473.5,127.0,37
472.0,131.5,37
472.0,134.5,37
473.5,141.0,37
471.0,147.0,37
471.5,150.5,37
472.0,154.5,39
470.0,163.0,42
470.0,166.0,44
471.5,171.5,44
472.0,174.5,44
471.0,179.0,44
469.5,186.0,44
471.5,192.0,44
469.0,193.5,44
468.0,202.0,43
470.5,208.0,43
469.0,212.0,43
468.5,218.0,43
468.5,223.0,43
467.0,228.0,43
467.5,238.0,43
466.0,239.0,43
466.0,243.5,43
466.0,247.5,43
466.0,254.5,43
466.0,260.0,43
466.5,263.5,43
466.0,268.5,43
466.5,271.0,43
466.5,276.5,43
464.5,282.0,42
465.0,289.0,38
464.0,294.0,33
464.0,297.0,33
465.5,303.5,32
464.5,308.5,33
463.0,312.5,33
462.0,319.0,33
461.5,323.5,35
467.5,44.5,38
468.5,46.5,38
468.0,51.5,37
467.0,54.0,37
468.5,61.0,37
468.0,66.0,37
469.5,67.5,37
468.5,75.5,37
468.5,80.0,37
469.5,85.0,37
469.5,90.5,37
467.0,96.0,37
466.5,96.5,37
467.5,105.5,37
467.5,107.5,37
467.0,115.0,37
467.5,121.5,37
468.0,125.5,37
467.0,128.5,36
469.0,137.5,36
470.5,140.5,37
468.0,147.5,37
469.5,151.0,37
470.0,154.0,39
471.5,160.0,42
472.0,166.0,43
469.5,169.5,43
469.0,177.0,43
468.5,184.0,43
468.0,187.5,43
466.0,195.0,43
467.0,201.5,44
466.5,206.5,44
465.5,212.5,44
466.0,212.0,44
467.0,223.0,44
466.0,223.0,44
466.0,230.5,44
466.5,235.5,44
467.0,239.5,43
466.0,243.0,43
465.0,252.5,43
465.0,256.0,43
465.5,258.5,43
462.0,270.5,43
462.5,270.5,43
462.0,279.5,43
461.5,278.0,43
462.5,286.5,39
462.5,290.5,34
460.0,298.0,32
463.5,302.5,32
462.5,306.0,32
462.5,312.5,32
461.0,315.0,33
460.5,321.0,34
460.5,46.0,37
458.0,49.5,37
460.5,52.5,37
461.0,56.0,37
460.0,62.0,37
460.0,69.0,37
459.0,73.5,37
458.0,78.5,37
457.5,84.5,37
459.5,87.0,37
456.0,96.0,37
454.0,101.5,37
454.0,107.0,37
454.5,110.5,37
454.0,113.0,37
453.5,118.5,36
452.5,124.5,37
454.0,128.0,36
454.0,133.0,36
453.0,136.5,36
454.0,143.5,36
451.5,147.5,36
453.5,152.5,37
452.5,160.5,40
453.0,161.0,43
453.0,169.5,43
452.0,175.0,43
452.5,177.0,43
453.0,186.0,43
452.0,188.5,43
450.0,196.0,43
450.5,201.0,43
449.5,205.0,42
449.0,210.0,43
449.5,214.5,42
448.0,223.5,42
449.5,224.5,42
448.5,231.5,42
446.5,236.0,42
448.5,241.5,42
448.0,243.0,42
448.5,253.0,42
447.5,257.0,42
446.5,261.0,42
446.0,263.5,42
445.0,270.5,42
445.0,273.5,42
443.5,281.5,42
443.0,287.0,39
444.0,291.5,34
443.0,299.0,32
442.0,302.5,32
442.0,307.5,32
442.0,313.5,32
